Name:  Rhay Scott	
File:  lab00a-carter.txt
Date:  July 1, 2020

**********************
Windows PowerShell transcript start
Start time: 20200701100145
Username: MCTHUGGER\McThug
RunAs User: MCTHUGGER\McThug
Configuration Name: 
Machine: MCTHUGGER (Microsoft Windows NT 10.0.18362.0)
Host Application: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
Process ID: 20548
PSVersion: 5.1.18362.752
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.18362.752
BuildVersion: 10.0.18362.752
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
Transcript started, output file is C:\Users\McThug\PowerShell_transcript.MCTHUGGER.w+JeuCKQ.20200701100145.txt
PS C:\Users\McThug> get-help get-help

NAME
    Get-Help

SYNTAX
    Get-Help [[-Name] <string>] [-Path <string>] [-Category {Alias | Cmdlet | Provider | General | FAQ | Glossary | HelpFile | ScriptCommand | Function | Filter | ExternalScript | All |
    DefaultHelp | Workflow | DscResource | Class | Configuration}] [-Component <string[]>] [-Functionality <string[]>] [-Role <string[]>] [-Full]  [<CommonParameters>]

    Get-Help [[-Name] <string>] -Detailed [-Path <string>] [-Category {Alias | Cmdlet | Provider | General | FAQ | Glossary | HelpFile | ScriptCommand | Function | Filter | ExternalScript
    | All | DefaultHelp | Workflow | DscResource | Class | Configuration}] [-Component <string[]>] [-Functionality <string[]>] [-Role <string[]>]  [<CommonParameters>]

    Get-Help [[-Name] <string>] -Examples [-Path <string>] [-Category {Alias | Cmdlet | Provider | General | FAQ | Glossary | HelpFile | ScriptCommand | Function | Filter | ExternalScript
    | All | DefaultHelp | Workflow | DscResource | Class | Configuration}] [-Component <string[]>] [-Functionality <string[]>] [-Role <string[]>]  [<CommonParameters>]

    Get-Help [[-Name] <string>] -Parameter <string> [-Path <string>] [-Category {Alias | Cmdlet | Provider | General | FAQ | Glossary | HelpFile | ScriptCommand | Function | Filter |
    ExternalScript | All | DefaultHelp | Workflow | DscResource | Class | Configuration}] [-Component <string[]>] [-Functionality <string[]>] [-Role <string[]>]  [<CommonParameters>]

    Get-Help [[-Name] <string>] -Online [-Path <string>] [-Category {Alias | Cmdlet | Provider | General | FAQ | Glossary | HelpFile | ScriptCommand | Function | Filter | ExternalScript |
    All | DefaultHelp | Workflow | DscResource | Class | Configuration}] [-Component <string[]>] [-Functionality <string[]>] [-Role <string[]>]  [<CommonParameters>]

    Get-Help [[-Name] <string>] -ShowWindow [-Path <string>] [-Category {Alias | Cmdlet | Provider | General | FAQ | Glossary | HelpFile | ScriptCommand | Function | Filter |
    ExternalScript | All | DefaultHelp | Workflow | DscResource | Class | Configuration}] [-Component <string[]>] [-Functionality <string[]>] [-Role <string[]>]  [<CommonParameters>]


ALIASES
    None


REMARKS
    Get-Help cannot find the Help files for this cmdlet on this computer. It is displaying only partial help.
        -- To download and install Help files for the module that includes this cmdlet, use Update-Help.
        -- To view the Help topic for this cmdlet online, type: "Get-Help Get-Help -Online" or
           go to https://go.microsoft.com/fwlink/?LinkID=113316.



PS C:\Users\McThug> get-command

CommandType     Name                                               Version    Source
Alias           Get-AdlJobPipeline                                 4.2.3      AzureRM.DataLakeAnalytics
Alias           Get-AdlJobRecurrence                               4.2.3      AzureRM.DataLakeAnalytics
Alias           Get-AdlStore                                       5.2.0      AzureRM.DataLakeStore
Alias           Get-AdlStoreChildItem                              5.2.0      AzureRM.DataLakeStore
Alias           Get-AdlStoreFirewallRule                           5.2.0      AzureRM.DataLakeStore
Alias           Get-AdlStoreItem                                   5.2.0      AzureRM.DataLakeStore
Alias           Get-AdlStoreItemAclEntry                           5.2.0      AzureRM.DataLakeStore
Alias           Get-AdlStoreItemContent                            5.2.0      AzureRM.DataLakeStore
Alias           Get-AdlStoreItemOwner                              5.2.0      AzureRM.DataLakeStore
Alias           Get-AdlStoreItemPermission                         5.2.0      AzureRM.DataLakeStore
Alias           Get-AdlStoreTrustedIdProvider                      5.2.0      AzureRM.DataLakeStore
Alias           Get-AppPackage                                     2.0.1.0    Appx
Alias           Get-AppPackageDefaultVolume                        2.0.1.0    Appx
Alias           Get-AppPackageLastError                            2.0.1.0    Appx
Alias           Get-AppPackageLog                                  2.0.1.0    Appx
Alias           Get-AppPackageManifest                             2.0.1.0    Appx
Alias           Get-AppPackageVolume                               2.0.1.0    Appx
Alias           Get-AppProvisionedPackage                          3.0        Dism
Alias           Get-ASRAlertSetting                                0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASREvent                                       0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRFabric                                      0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRJob                                         0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRNetwork                                     0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRNetworkMapping                              0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRNotificationSetting                         0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRPolicy                                      0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRProtectableItem                             0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRProtectionContainer                         0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRProtectionContainerMapping                  0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRRecoveryPlan                                0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRRecoveryPoint                               0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRReplicationProtectedItem                    0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRRP                                          0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRServicesProvider                            0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRStorageClassification                       0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRStorageClassificationMapping                0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-ASRvCenter                                     0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-AzureAs                                        0.6.6      AzureRM.AnalysisServices
Alias           Get-AzureHDInsightCluster                          5.1.2      Azure
Alias           Get-AzureHDInsightJob                              5.1.2      Azure
Alias           Get-AzureHDInsightJobOutput                        5.1.2      Azure
Alias           Get-AzureHDInsightProperties                       5.1.2      Azure
Alias           Get-AzureRmBatchSubscriptionQuotas                 4.0.6      AzureRM.Batch
Alias           Get-AzureRmHDInsightOMS                            4.1.2      AzureRM.HDInsight
Alias           Get-AzureRmIotHubCVC                               3.1.2      AzureRM.IotHub
Alias           Get-AzureRmIotHubEHCG                              3.1.2      AzureRM.IotHub
Alias           Get-AzureRmRecoveryServicesAsrNotificationSetting  0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-AzureRmRecoveryServicesAsrVaultSettings        0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Get-AzureRmRecoveryServicesBackupProperties        4.1.2      AzureRM.RecoveryServices
Alias           Get-AzureRmResourceProviderAction                  5.5.2      AzureRM.Resources
Alias           Get-AzureRmSqlDatabaseLongTermRetentionPolicy      4.4.0      AzureRM.Sql
Alias           Get-AzureRmSqlDatabaseServerAuditingPolicy         4.4.0      AzureRM.Sql
Alias           Get-AzureRmVmssDiskEncryptionStatus                4.6.0      AzureRM.Compute
Alias           Get-AzureRmVmssVMDiskEncryptionStatus              4.6.0      AzureRM.Compute
Alias           Get-AzureStorageContainerAcl                       4.2.1      Azure.Storage
Alias           Get-DiskSNV                                        2.0.0.0    Storage
Alias           Get-PhysicalDiskSNV                                2.0.0.0    Storage
Alias           Get-ProvisionedAppPackage                          3.0        Dism
Alias           Get-ProvisionedAppxPackage                         3.0        Dism
Alias           Get-SSAccessControlRecord                          5.1.2      Azure
Alias           Get-SSDevice                                       5.1.2      Azure
Alias           Get-SSDeviceBackup                                 5.1.2      Azure
Alias           Get-SSDeviceBackupPolicy                           5.1.2      Azure
Alias           Get-SSDeviceConnectedInitiator                     5.1.2      Azure
Alias           Get-SSDeviceVolume                                 5.1.2      Azure
Alias           Get-SSDeviceVolumeContainer                        5.1.2      Azure
Alias           Get-SSFailoverVolumeContainers                     5.1.2      Azure
Alias           Get-SSJob                                          5.1.2      Azure
Alias           Get-SSLegacyVolumeContainerConfirmStatus           5.1.2      Azure
Alias           Get-SSLegacyVolumeContainerMigrationPlan           5.1.2      Azure
Alias           Get-SSLegacyVolumeContainerStatus                  5.1.2      Azure
Alias           Get-SSResource                                     5.1.2      Azure
Alias           Get-SSResourceContext                              5.1.2      Azure
Alias           Get-SSStorageAccountCredential                     5.1.2      Azure
Alias           Get-SSTask                                         5.1.2      Azure
Alias           Get-StorageEnclosureSNV                            2.0.0.0    Storage
Alias           Get-WAPackEnvironment                              5.1.2      Azure
Alias           Get-WAPackPublishSettingsFile                      5.1.2      Azure
Alias           Get-WAPackSBLocation                               5.1.2      Azure
Alias           Get-WAPackSBNamespace                              5.1.2      Azure
Alias           Get-WAPackSubscription                             5.1.2      Azure
Alias           Get-WAPackWebsite                                  5.1.2      Azure
Alias           Get-WAPackWebsiteDeployment                        5.1.2      Azure
Alias           Get-WAPackWebsiteLocation                          5.1.2      Azure
Alias           Get-WAPackWebsiteLog                               5.1.2      Azure
Alias           Import-AdlStoreItem                                5.2.0      AzureRM.DataLakeStore
Alias           Import-AzureRmAutomationModule                     4.3.2      AzureRM.Automation
Alias           Import-SSLegacyApplianceConfig                     5.1.2      Azure
Alias           Import-SSLegacyVolumeContainer                     5.1.2      Azure
Alias           Import-WAPackPublishSettingsFile                   5.1.2      Azure
Alias           Initialize-Volume                                  2.0.0.0    Storage
Alias           Invoke-Hive                                        5.1.2      Azure
Alias           Join-AdlStoreItem                                  5.2.0      AzureRM.DataLakeStore
Alias           List-AzureRmApplicationGatewayAvailableSslOptions  5.4.2      AzureRM.Network
Alias           List-AzureRmApplicationGatewayAvailableWafRuleSets 5.4.2      AzureRM.Network
Alias           List-AzureRmApplicationGatewaySslPredefinedPolicy  5.4.2      AzureRM.Network
Alias           Login-AzAccount                                    4.6.0      AzureRM.Profile
Alias           Login-AzureRmAccount                               4.6.0      AzureRM.Profile
Alias           Logout-AzAccount                                   4.6.0      AzureRM.Profile
Alias           Logout-AzureRmAccount                              4.6.0      AzureRM.Profile
Alias           Mount-AppPackageVolume                             2.0.1.0    Appx
Alias           Move-AdlStoreItem                                  5.2.0      AzureRM.DataLakeStore
Alias           Move-AppPackage                                    2.0.1.0    Appx
Alias           Move-SmbClient                                     2.0.0.0    SmbWitness
Alias           New-AdlAnalyticsAccount                            4.2.3      AzureRM.DataLakeAnalytics
Alias           New-AdlAnalyticsComputePolicy                      4.2.3      AzureRM.DataLakeAnalytics
Alias           New-AdlCatalogCredential                           4.2.3      AzureRM.DataLakeAnalytics
Alias           New-AdlCatalogSecret                               4.2.3      AzureRM.DataLakeAnalytics
Alias           New-AdlStore                                       5.2.0      AzureRM.DataLakeStore
Alias           New-AdlStoreItem                                   5.2.0      AzureRM.DataLakeStore
Alias           New-ASRFabric                                      0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           New-ASRNetworkMapping                              0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           New-ASRPolicy                                      0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           New-ASRProtectableItem                             0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           New-ASRProtectionContainerMapping                  0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           New-ASRRecoveryPlan                                0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           New-ASRReplicationProtectedItem                    0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           New-ASRRP                                          0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           New-ASRStorageClassificationMapping                0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           New-ASRvCenter                                     0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           New-AzureAs                                        0.6.6      AzureRM.AnalysisServices
Alias           New-AzureHDInsightCluster                          5.1.2      Azure
Alias           New-AzureHDInsightClusterConfig                    5.1.2      Azure
Alias           New-AzureHDInsightHiveJobDefinition                5.1.2      Azure
Alias           New-AzureHDInsightMapReduceJobDefinition           5.1.2      Azure
Alias           New-AzureHDInsightPigJobDefinition                 5.1.2      Azure
Alias           New-AzureHDInsightSqoopJobDefinition               5.1.2      Azure
Alias           New-AzureHDInsightStreamingMapReduceJobDefinition  5.1.2      Azure
Alias           New-AzureRmDataFactoryV2                           0.5.3      AzureRM.DataFactoryV2
Alias           New-AzureRmDataFactoryV2Dataset                    0.5.3      AzureRM.DataFactoryV2
Alias           New-AzureRmDataFactoryV2LinkedService              0.5.3      AzureRM.DataFactoryV2
Alias           New-AzureRmDataFactoryV2Pipeline                   0.5.3      AzureRM.DataFactoryV2
Alias           New-AzureRmDataFactoryV2Trigger                    0.5.3      AzureRM.DataFactoryV2
Alias           New-AzureRmOperationalInsightsAzureAuditDataSource 4.3.2      AzureRM.OperationalInsights
Alias           New-SSAccessControlRecord                          5.1.2      Azure
Alias           New-SSDeviceBackupPolicy                           5.1.2      Azure
Alias           New-SSDeviceBackupScheduleAddConfig                5.1.2      Azure
Alias           New-SSDeviceBackupScheduleUpdateConfig             5.1.2      Azure
Alias           New-SSDeviceVolume                                 5.1.2      Azure
Alias           New-SSDeviceVolumeContainer                        5.1.2      Azure
Alias           New-SSInlineStorageAccountCredential               5.1.2      Azure
Alias           New-SSNetworkConfig                                5.1.2      Azure
Alias           New-SSStorageAccountCredential                     5.1.2      Azure
Alias           New-SSVirtualDevice                                5.1.2      Azure
Alias           New-WAPackSBNamespace                              5.1.2      Azure
Alias           New-WAPackWebsite                                  5.1.2      Azure
Alias           Optimize-AppProvisionedPackages                    3.0        Dism
Alias           Optimize-ProvisionedAppPackages                    3.0        Dism
Alias           Optimize-ProvisionedAppxPackages                   3.0        Dism
Alias           Reactivate-AzureBatchTask                          4.0.6      AzureRM.Batch
Alias           Remove-AdlAnalyticsAccount                         4.2.3      AzureRM.DataLakeAnalytics
Alias           Remove-AdlAnalyticsComputePolicy                   4.2.3      AzureRM.DataLakeAnalytics
Alias           Remove-AdlAnalyticsDataSource                      4.2.3      AzureRM.DataLakeAnalytics
Alias           Remove-AdlAnalyticsFirewallRule                    4.2.3      AzureRM.DataLakeAnalytics
Alias           Remove-AdlCatalogCredential                        4.2.3      AzureRM.DataLakeAnalytics
Alias           Remove-AdlCatalogSecret                            4.2.3      AzureRM.DataLakeAnalytics
Alias           Remove-AdlStore                                    5.2.0      AzureRM.DataLakeStore
Alias           Remove-AdlStoreFirewallRule                        5.2.0      AzureRM.DataLakeStore
Alias           Remove-AdlStoreItem                                5.2.0      AzureRM.DataLakeStore
Alias           Remove-AdlStoreItemAcl                             5.2.0      AzureRM.DataLakeStore
Alias           Remove-AdlStoreItemAclEntry                        5.2.0      AzureRM.DataLakeStore
Alias           Remove-AdlStoreTrustedIdProvider                   5.2.0      AzureRM.DataLakeStore
Alias           Remove-AppPackage                                  2.0.1.0    Appx
Alias           Remove-AppPackageVolume                            2.0.1.0    Appx
Alias           Remove-AppProvisionedPackage                       3.0        Dism
Alias           Remove-ASRFabric                                   0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Remove-ASRNetworkMapping                           0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Remove-ASRPolicy                                   0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Remove-ASRProtectionContainerMapping               0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Remove-ASRRecoveryPlan                             0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Remove-ASRReplicationProtectedItem                 0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Remove-ASRRP                                       0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Remove-ASRServicesProvider                         0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Remove-ASRStorageClassificationMapping             0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Remove-ASRvCenter                                  0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Remove-AzureAs                                     0.6.6      AzureRM.AnalysisServices
Alias           Remove-AzureHDInsightCluster                       5.1.2      Azure
Alias           Remove-AzureRmAccount                              4.6.0      AzureRM.Profile
Alias           Remove-AzureRmIotHubEHCG                           3.1.2      AzureRM.IotHub
Alias           Remove-AzureRmSqlDatabaseServerAuditing            4.4.0      AzureRM.Sql
Alias           Remove-EtwTraceSession                             1.0.0.0    EventTracingManagement
Alias           Remove-ProvisionedAppPackage                       3.0        Dism
Alias           Remove-ProvisionedAppxPackage                      3.0        Dism
Alias           Remove-ProvisioningPackage                         3.0        Provisioning
Alias           Remove-SSAccessControlRecord                       5.1.2      Azure
Alias           Remove-SSDeviceBackup                              5.1.2      Azure
Alias           Remove-SSDeviceBackupPolicy                        5.1.2      Azure
Alias           Remove-SSDeviceVolume                              5.1.2      Azure
Alias           Remove-SSDeviceVolumeContainer                     5.1.2      Azure
Alias           Remove-SSStorageAccountCredential                  5.1.2      Azure
Alias           Remove-TrustedProvisioningCertificate              3.0        Provisioning
Alias           Remove-WAPackEnvironment                           5.1.2      Azure
Alias           Remove-WAPackSBNamespace                           5.1.2      Azure
Alias           Remove-WAPackSubscription                          5.1.2      Azure
Alias           Remove-WAPackWebsite                               5.1.2      Azure
Alias           Resolve-Error                                      4.6.0      AzureRM.Profile
Alias           Restart-ASRJob                                     0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Restart-WAPackWebsite                              5.1.2      Azure
Alias           Restore-WAPackWebsiteDeployment                    5.1.2      Azure
Alias           Resume-ASRJob                                      0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Resume-AzureAs                                     0.6.6      AzureRM.AnalysisServices
Alias           Revoke-AzureHDInsightHttpServicesAccess            5.1.2      Azure
Alias           Save-AzureRmProfile                                4.6.0      AzureRM.Profile
Alias           Save-WAPackWebsiteLog                              5.1.2      Azure
Alias           Select-AzureRmSubscription                         4.6.0      AzureRM.Profile
Alias           Select-SSResource                                  5.1.2      Azure
Alias           Select-WAPackSubscription                          5.1.2      Azure
Alias           Set-AdlAnalyticsAccount                            4.2.3      AzureRM.DataLakeAnalytics
Alias           Set-AdlAnalyticsDataSource                         4.2.3      AzureRM.DataLakeAnalytics
Alias           Set-AdlAnalyticsFirewallRule                       4.2.3      AzureRM.DataLakeAnalytics
Alias           Set-AdlCatalogCredential                           4.2.3      AzureRM.DataLakeAnalytics
Alias           Set-AdlCatalogSecret                               4.2.3      AzureRM.DataLakeAnalytics
Alias           Set-AdlStore                                       5.2.0      AzureRM.DataLakeStore
Alias           Set-AdlStoreFirewallRule                           5.2.0      AzureRM.DataLakeStore
Alias           Set-AdlStoreItemAcl                                5.2.0      AzureRM.DataLakeStore
Alias           Set-AdlStoreItemAclEntry                           5.2.0      AzureRM.DataLakeStore
Alias           Set-AdlStoreItemExpiry                             5.2.0      AzureRM.DataLakeStore
Alias           Set-AdlStoreItemOwner                              5.2.0      AzureRM.DataLakeStore
Alias           Set-AdlStoreItemPermission                         5.2.0      AzureRM.DataLakeStore
Alias           Set-AdlStoreTrustedIdProvider                      5.2.0      AzureRM.DataLakeStore
Alias           Set-AppPackageDefaultVolume                        2.0.1.0    Appx
Alias           Set-AppPackageProvisionedDataFile                  3.0        Dism
Alias           Set-ASRAlertSetting                                0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Set-ASRNotificationSetting                         0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Set-ASRReplicationProtectedItem                    0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Set-ASRVaultContext                                0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Set-ASRVaultSettings                               0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Set-AutologgerConfig                               1.0.0.0    EventTracingManagement
Alias           Set-AzureAs                                        0.6.6      AzureRM.AnalysisServices
Alias           Set-AzureHDInsightDefaultStorage                   5.1.2      Azure
Alias           Set-AzureKeyVaultKey                               4.3.0      AzureRM.KeyVault
Alias           Set-AzureRmIotHubVC                                3.1.2      AzureRM.IotHub
Alias           Set-AzureRmRecoveryServicesAsrNotificationSetting  0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Set-AzureRmRecoveryServicesAsrVaultSettings        0.2.4      AzureRM.RecoveryServices.SiteRecovery
Alias           Set-AzureRmSqlDatabaseLongTermRetentionPolicy      4.4.0      AzureRM.Sql
Alias           Set-AzureRmSqlDatabaseServerAuditingPolicy         4.4.0      AzureRM.Sql
Alias           Set-EtwTraceSession                                1.0.0.0    EventTracingManagement
Alias           Set-ProvisionedAppPackageDataFile                  3.0        Dism
Alias           Set-ProvisionedAppXDataFile                        3.0        Dism
Alias           Set-SSAccessControlRecord                          5.1.2      Azure
Alias           Set-SSDevice                                       5.1.2      Azure
Alias           Set-SSDeviceBackupPolicy                           5.1.2      Azure
Alias           Set-SSDeviceVolume                                 5.1.2      Azure
Alias           Set-SSStorageAccountCredential                     5.1.2      Azure
Alias           Set-SSVirtualDevice                                5.1.2      Azure
